LISTADO CLIENTES ACTIVOS,,,,,,,,
"Derivados Siderurgicos,C.A.",,,,,,,,
,,,,,,,ESTADO,
CODIGO,NOMBRE / DIRECCION,,RIF/CEDULA,,,,CIUDAD,
,,OFICINA CARACAS,,,,,,
C-1641,,A.C. MIRADOR LOS SAMANES                          ,J-31317960-4        ,,,,,
,,,,,,,,
,,CALLE EL COLEGIO SECTOR MINAS DE BARUTA ,,,,,,
,,,,,,,,
,,MIRADOR DE LOS SAMANES LOCAL S/N CARACAS,,,,,,
,,,,Telf.:,,02129444664 ,,
,,                                        ,,,,,,
C-1538,,A.C. VISTA LOMAS              ,J-31073595-6        ,,,,,
,,,,,,,,
,,AV DIEGO CISNEROS OFICTRO LOS ,,,,,,
,,,,,,,,
,,RUICES OF PB-C LOS RUICES.CCAS,,,,,,
,,,,Telf.:,,02122394407 ,,
,, ,,,,,,
C-0122,,"ACERO TRACTO, C.A.            ",J-00126585-6        ,,,,,
,,,,,,,,
,,TORRE DOMUS P-3 OFIC. 3-B AV. ,,,,,,
,,,,,,,,
,,LINCOLN SABANA GRANDE-CARACAS ,,,,,,
,,,,Telf.:,,   -        ,,
,, ,,,,,,
C-0494,,"ACEROMAT - SANTA RITA, C.A.   ",J-30225490-6        ,,,,,
,,,,,,,,
,,SANTA RITA ZONA IND.EL PINONAL,,,,,,
,,,,,,,,
,,PALO NEGRO ESTADO ARAGUA      ,,,,,,
,,,,Telf.:,,   -        ,,
,, ,,,,,,
C-0571,,"ACEROMAT, C.A.                ",J-07504983-7        ,,,,,
,,,,,,,,
,,URB.INDUST. SAN MIGUEL CALLE  ,,,,,,
,,,,,,,,
,,VALENCIA #21 Y 28. MARACAY    ,,,,,,
,,,,Telf.:,,   -        ,,
,, ,,,,,,
C-1294,,ACEROS FEDERALES C.A,J-30086650-5,,,,,
,,,,,,,,
,,CALLE VERACRUZ C/C CALI EDF.  ,,,,,,
,,,,,,,,
,,CAPAYA P-1LAS MERCEDES CARACAS,,,,,,
,,,,Telf.:,,9934847,,
,, ,,,,,,
C-0861,,"ACEROS MATERIALES, C.A.       ",J-08004161-5        ,,,,,
,,,,,,,,
,,AV. JUAN BAUTISTA ARISMENDI   ,,,,,,
,,,,,,,,
,,PORLAMAR ESTADO NUEVA ESPARTA ,,,,,,
,,,,Telf.:,,   -        ,,
,, ,,,,,,
C-0701,,A.C.M. PROVIVIENDA EL MILAGRO ,J-30351761-7        ,,,,,
,,,,,,,,
,,AVENIDA LOS PROCERES SECTOR EL,,,,,,
,,,,,,,,
,,CAMPITO MERIDA ESTADO MERIDA  ,,,,,,
,,,,Telf.:,,            ,,
,, ,,,,,,
C-1150,,"AGARCA, C.A.                  ",J-30567269-5        ,,,,,
,,,,,,,,
,,COLINAS DE CURAZAO CALLE #2   ,,,,,,
,,,,,,,,
,,CASA 19. GUANARE-PORTUGUESA   ,,,,,,
,,,,Telf.:,,            ,,
,, ,,,,,,
C-1759,,AGROPECUARIA E INVERSIONES LOS CLAROS S.A         ,J-09001587-6        ,,,,,
,,,,,,,,
,,CTRA PANAMERICANA VIA AGUA VIVA LOCAL ,,,,,,
,,,,,,,,
,,NRO S/No SECTOR SAN GONZALO JALISCO    ,,,,,,
,,,,Telf.:,,            ,,
